제품명,가격,제조사,주요 성분,효능 및 기능,복용 방법,주의사항 및 부작용,이미지URL,카테고리/태그
,0원,라이펫ㅣ타히보,,"중증 종양 환자를 위한 종양 특화 영양제 타베뷔아 나무에서 추출한 100% 천연 항암 성분 글루타치온 효모를 통한 강력한 항산화작용 어떤 질환이 있어도 안전하게 복용 가능 2 급여 방법 항암 보조 영양제 타히보 이펫토s 제형 타블렛 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기 상품 정보 품명 및 모델명 타히보 이펫토s 법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항 상품 상세 참조 제조국 또는 원산지 일본 제조자/수입자 타히보 소비자 상담관련 전화번호 070-4519-6445 만족도 높은 상품을 찾으시나요? Previous 찜하기 위/장 추천 뉴알엑스 [묶음 할인]뉴알엑스 진짜사슴져키 120g 9% 5,000원 5,500원 5.0리뷰 5 오늘출발 찜하기 종합관리 추천 닥터맘마 미니파이 멀티팩 10개입 12% 11,500원 13,000원 5.0리뷰 18 오늘출발 찜하기 위/장 추천 브랜바인 브랜바인 장 건강 천연 항생제 집중케어 유산균 파우더 120g 39,900원 5.0리뷰 1 무료배송 찜하기 종합관리 추천 라이펫 [샘플] 진정성 9종 (TF, TE, SG, LZ, LG, MP, CT, CA, FE) 75% 1,500원 6,000원 5.0리뷰 40 오늘출발 Next 리뷰 상품을 구매하신 분들이 작성한 리뷰입니다. 총점 평균 4.7 별점 4.7점 5점 10명 4점 0명 3점 2명 2점 0명 1점 0명 베스트 리뷰 10,000원 쿠폰 증정! 매주 월요일 12시 당첨자 3명 발표 사진 리뷰 11 전체 리뷰 12 별점순 최신순 박도순 요크셔테리어 12살 2.9kg 별점 5점 3번째 구매 2025.03.29 [[묶음할인] 타히보 이펫토s 2개(120정)] 기호성이 아주 좋아요, 급여하기 아주 편해요, 성분이 아주 좋아요. 타히보 이펫토 한통 다 먹고 이번에 2통 시켰어요 노견 간암이고 수술하고 병원에서 처방받은 경구 항암제 토세라닙 팔라디아 먹는데 수의사 선생님이 항암보조제 이펫토 추천하셔서 먹고 있어요 알약이 작아서 사료에 섞어서 주면 잘 먹더라구요 기호성이 좋아요 이번에 초음파 검사했는데 수술하고 남아있는 작은 종양이 자랐는지 확인했는데 다행히 괜찮아요. 타히보가 도움이 되면 좋겠어요. 박도순 요크셔테리어 12살 2.9kg 별점 5점 4번째 구매 2025.05.07 [[묶음할인] 타히보 이펫토s 2개(120정)] 기호성이 아주 좋아요, 급여하기 아주 편해요, 성분이 아주 좋아요. 수술하고 항암보조제로 타히보 이펫토 벌써 3통째 먹고 있어요 어제 검사했는데 다행히 남아있는 종양 크기는 그대로네요 구입할때마다 가격이 비싸서 부담스럽지만 라이펫에서 좋은 가격에 구입할 수 있어서 좋아요 계속 팔아주세요 ㅜㅜ 기호성도 좋아서 간식처럼 먹어요 습식 사료에 올려서 주면 금방 사라져요 ㅎㅎ 달콤이 말티즈 12살 6kg 별점 5점 2번째 구매 2025.07.11 [ 타히보 이펫토s 1개(60정)] 기호성이 아주 좋아요, 급여하기 아주 편해요, 성분이 아주 좋아요. 우선 약이 클까봐 걱정하였는데 엄청 작아서 섭취하는데 있어서 부담이 없어 좋았습니다. 아이가 심장이 안 좋아 먹이기 시작하였는데 그래도 먹으면서 좋아지는거 같아서 엄청 기쁩니다. 주기적으로 계속 먹일 생각입니다. 봄이 말티즈 12살 4.4kg 별점 5점 2025.09.19 [[묶음할인] 타히보 이펫토s 2개(120정)] 기호성이 아주 좋아요, 급여하기 보통이에요, 성분이 아주 좋아요. 두통시켰는데 다 못먹구 하늘나라갔어요 뭐가 그리 급한지 노환으루 갔어요 5살때부터 관리를 해서 많이 아픈곳은 없었어요 갈때쯤은 여기저기 고장이 나드라구요 다 먹구 갔음 좋았을걸 박도순 요크셔테리어 12살 2.9kg 별점 5점 2025.02.24 [ 타히보 이펫토s 1개(60정)] 기호성이 아주 좋아요, 급여하기 아주 편해요, 성분이 보통이에요. 강아지가 간 종양 수술하고 항암보조제로 시켰어요 수의사 선생님이 추천해주셨는데 소형견 아침 저녁으로 1알씩 먹어요 기호성은 좋아요 이전 1 2 3 다음 상품 문의 1 상품에 관한 문의가 아닌 배송, 결제, 교환/반품에 대한 문의는 1:1 문의에 남겨주세요. 문의하기 제목 작성자 날짜 답변 상태 문의드립니다 루시 2025.02.25 답변 완료 이전 1 다음 배송정보 페이지 상단에 안내된 배송 기준을 확인해주세요. 브랜드 배송의 경우 브랜드별로 배송비와 무료배송 조건이 다르게 적용돼요. 라이펫 배송의 경우 30,000원 이상 구매 시 무료배송이 적용돼요. (30,000원 미만 구매 시 배송비 3,000원 추가) 부피가 큰 용품 및 일부 상품은 추가 배송비가 요청될 수 있어요. 취소/교환/반품 안내 주문 취소는 ‘결제 완료’ 상태에서만 가능해요. '상품준비중'일 경우는 1:1 문의를 통해서 주문을 취소할 수 있어요. 교환/반품은 상품 수령일로부터 7일 이내에 접수할 수 있어요. 리뷰를 작성한 경우 교환/반품이 불가능해요. 단순 변심 등의 구매자 사유의 교환/반품은 반품 배송비가 부과되며, 반품 배송비는 교환/반품 페이지에서 확인할 수 있어요. 판매자의 책임이 있는 상품 및 배송 문제는 교환/반품 택배비가 부과되지 않아요. 상품 및 배송에 문제가 있는 경우에 동일 상품으로만 교환할 수 있어요. 반품 신청한 상품의 회수 및 검수가 완료된 후 이상이 없을 경우 환불이 진행돼요. 교환/반품은 상품 회수 및 상태 확인 후 거절될 수 있어요. 상품 상세 설명에 교환/환불 정책이 별도로 기재된 경우 해당 내용이 우선돼요. 쿠폰 및 적립금 사용 여부에 따라 환불되는 금액에 차이가 있을 수 있어요. 일부 상품의 반품으로 주문 건의 쿠폰 사용 조건이 충족되지 않는 경우 쿠폰 적용이 취소될 수 있어요. 상품 색상과 이미지는 기기의 해상도에 따라 다르게 보일 수 있으며, 무료 교환/환불의 사유가 되지 않아요.",항암 보조 영양제 타히보 이펫토s 제형 타블렛 급여 방법 직접 급여하거나 주식/간식과 함께 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"44,000원",라이펫ㅣ아투,,"칠면조 80%의 단일 단백질 포뮬러 그레인프리·글루텐프리로 알러지 반응 최소화 32가지 슈퍼푸드를 더한 독자적인 영양 설계 영양소 파괴를 최소화한 저온 슬로우 쿠킹 공법 2 급여 방법 일반 사료 아투 독 칠면조 1.5kg 제형 건사료 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기 상품 정보 품명 및 모델명 아투 독 칠면조 1.5kg 법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항 상세 참조 제조국 또는 원산지 스페인 제조자/수입자 (주)펫트코리아 소비자 상담관련 전화번호 상세 참조 유통기한 또는 소비기한 2026. 05. 17 이거나 그 이후인 상품 만족도 높은 상품을 찾으시나요? Previous 찜하기 종합관리 추천 벳플러스 파이보 500g 14% 38,000원 44,000원 4.7리뷰 23 오늘출발 BEST 찜하기 종합관리 추천 동해형씨 동해형씨 레토르트 원물건조 도치 20g 0% 4,500원 4,500원 0.0리뷰 0 오늘출발 찜하기 종합관리 추천 바프독 노즈노우즈 크리스피 비프칩 (소) 40g 8,900원 5.0리뷰 2 찜하기 면역력 추천 조공 조공 꿀홍삼 터키츄 링 10g 10% 3,050원 3,400원 0.0리뷰 0 오늘출발 Next 리뷰 상품을 구매하신 분들이 작성한 리뷰입니다. 총점 평균 0 별점 0점 5점 0명 4점 0명 3점 0명 2점 0명 1점 0명 베스트 리뷰 10,000원 쿠폰 증정! 매주 월요일 12시 당첨자 3명 발표 사진 리뷰 0 전체 리뷰 0 별점순 최신순 상품 문의 0 상품에 관한 문의가 아닌 배송, 결제, 교환/반품에 대한 문의는 1:1 문의에 남겨주세요. 문의하기 제목 작성자 날짜 답변 상태 배송정보 페이지 상단에 안내된 배송 기준을 확인해주세요. 브랜드 배송의 경우 브랜드별로 배송비와 무료배송 조건이 다르게 적용돼요. 라이펫 배송의 경우 30,000원 이상 구매 시 무료배송이 적용돼요. (30,000원 미만 구매 시 배송비 3,000원 추가) 부피가 큰 용품 및 일부 상품은 추가 배송비가 요청될 수 있어요. 취소/교환/반품 안내 주문 취소는 ‘결제 완료’ 상태에서만 가능해요. '상품준비중'일 경우는 1:1 문의를 통해서 주문을 취소할 수 있어요. 교환/반품은 상품 수령일로부터 7일 이내에 접수할 수 있어요. 리뷰를 작성한 경우 교환/반품이 불가능해요. 단순 변심 등의 구매자 사유의 교환/반품은 반품 배송비가 부과되며, 반품 배송비는 교환/반품 페이지에서 확인할 수 있어요. 판매자의 책임이 있는 상품 및 배송 문제는 교환/반품 택배비가 부과되지 않아요. 상품 및 배송에 문제가 있는 경우에 동일 상품으로만 교환할 수 있어요. 반품 신청한 상품의 회수 및 검수가 완료된 후 이상이 없을 경우 환불이 진행돼요. 교환/반품은 상품 회수 및 상태 확인 후 거절될 수 있어요. 상품 상세 설명에 교환/환불 정책이 별도로 기재된 경우 해당 내용이 우선돼요. 쿠폰 및 적립금 사용 여부에 따라 환불되는 금액에 차이가 있을 수 있어요. 일부 상품의 반품으로 주문 건의 쿠폰 사용 조건이 충족되지 않는 경우 쿠폰 적용이 취소될 수 있어요. 상품 색상과 이미지는 기기의 해상도에 따라 다르게 보일 수 있으며, 무료 교환/환불의 사유가 되지 않아요.",일반 사료 아투 독 칠면조 1.5kg 제형 건사료 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,0원,라이펫ㅣ지위픽,,,일반 캔 사료 지위픽 고등어&양고기 390G 제형 습식 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"15,900원",라이펫ㅣ페노비스,"쌀가루 , 글리세린 , 정제수 , 분말셀룰로오스 , 가수분해닭고기분말 , 프락토올리고당 , 타피오카전분 , 이소말토올리고당 , 대두유 , 베타글루칸 , 아스코필럼노도섬 , 알파아밀라아제 , 가수분해단백질혼합분말 , 분말한천 , 혼합인산염 , 정제염 , 허니버터향 , 말토덱스트린 , 카르복시메틸셀룰로오스 , 글리세린지방산에스테르 , 소르빈산칼륨 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",360° 벌집모양으로 설계된 견체공학적 덴탈껌 가수분해 단백질 사용해 알레르기 반응 최소화 완벽한 구강케어를 위한 핵심원료 3종 함유 쫀득말랑한 식감의 기호성 높은 간식 2,간식 오랄벳 덴탈츄 중소형견 240g 제형 델탈껌 급여 방법 권장량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"29,000원",라이펫ㅣ뉴알엑스,"호밀 , 귀리 , 타피오카전분 , 완두 , MSM , 초록입홍합 , 글루코사민염산염 , 해바라기유 , 글리세린 , 아라비아검 , 프로필렌글리콜 , 맥주효모 , 탄산칼슘 , 뮤코다당-단백(콘드로이친) , 난소화성말토덱스트린 , 산성피로인산나트륨 , 황산칼슘 , 비타민 C , 소르빈산칼륨 , 펫가디언 , 망간 아미노산 , 감귤박(시트러스펙틴) , 로즈마리추출물 , 포도종자추출물 , L-글루타티온 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",뼈 건강에 탁월한 기능성원료 8종 함유 알러지에 도움되는 NO 육류 간식 면역력에 효과적인 맥주건조효모 사용 ISO 인증받은 품질이 검증된 제조사 2,간식 관절RX조인트 60P 제형 츄어블 급여 방법 하루에 1정만 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"19,500원",라이펫ㅣ포포네,,,"간식 퓨어퓨레 3종 MIX (25g x 12ea) 제형 퓨레 급여 방법 권장 급여량에 맞춰 급여해 주시고, 실제 급여량은 반려견의 체형·활동량·건강상태에 따라 조정하세요 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"11,500원",라이펫ㅣ포포네,,,"간식 에그미트볼 양 제형 에그미트볼 급여 방법 권장 급여량에 맞춰 급여해 주시고, 실제 급여량은 반려견의 체형·활동량·건강상태에 따라 조정하세요 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"11,900원",라이펫ㅣ닥터맘마,"연어 , 오리 , 당근 , 비타민합제(비타민 D, 비타민 C 외) , 미네랄합제(철, 구리 외) , 프로폴리스추출물 , 오메가-3 , 타우린 , 루테인 , 지아잔틴 , 보스웰리아 , 한천 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",눈 건강에 탁월한 루테인&지아잔틴 함유 건강에 중요한 수분보충 촉촉한 습식 간식으로 해결 사람이 먹는 것과 동일하게 휴먼그레이드 살고기 사용 HACCP의 인증 받은 안심 제조시설 2,눈 처방간식 닥터맘마 미니파이케어 씨유 제형 무스 급여 방법 식기에 옮겨 먹기 편하도록 잘게 나누어 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"20,000원",라이펫ㅣ웰케어,"카놀라유 , 글리세린 , 맥주효모 , 유도단백질 (양고기) , 피로인산나트륨 , 비타민 E , 마늘 , 소르빈산칼륨 , 비타민 A , 나이아신 , 판토텐산 , 비타민 B2 , 비타민 B1 , 비오틴 , 비타민 B12 , 비타민 D , 비타민 B6 , 엽산 , 셀레늄 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",면역력 증진·세포 활성화로 염증 완화에 도움 오메가3·종합비타민이 피부·모질 건강 케어 불포화지방산 89% 함유로 콜레스테롤 수치 감소 전연령 강아지용으로 성장기부터 노령까지 급여 2,종합 영양제 웰케어 마이뷰 DOG 300ml 제형 겔 급여 방법 급여 전 흔들어 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"185,000원",라이펫ㅣ스텔라앤츄이스,,,일반 사료 화이트피쉬 키블 10kg 제형 키블 급여 방법 권장 급여량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"9,900원",라이펫ㅣ바프독,"말정육 , 저염멸치 인공 첨가물, 알러젠 관련",국내산 원재료만 사용한 100% 원물 간식 철분 및 미네랄이 풍부한 말고기 베이스 뼈 튼튼 저염 멸치로 칼슘이 가득 자체 생산 제조 시설로 믿고 급여 가능 2,간식 크리스피 홀스칩 (말) 40g 제형 칩스 급여 방법 전자레인지에서 5초 정도만 돌려 손으로 부셔서 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"14,100원",라이펫ㅣ조공,"(동물복지인증)닭가슴살 , 정제수 , 타피오카(전분) , 초유 , L-트립토판 , 비타민 B1 , 발레리안추출물 , L-테아닌 , 켈프 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",수의학 전문가들이 배합한 스트레스 케어 보조 포뮬러 불안감 감소를 도와주는 L-트립토판과 L-테아닌 동물 복지 인증을 받은 건강한 닭가슴살 베이스 츄르(액상고형) 형태로 쉽고 편하게 급여 가능 2,스트레스 영양제 조공 이지케어 릴리프 제형 액상고형(츄르) 급여 방법 급작스런 스트레스 상황이 발생한다면 평소 급여량에 1-2회 추가 급여를 추천합니다. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"43,900원",라이펫ㅣ바프독,"닭가슴살 , 닭다리살 , 칠면조가슴살 , 통닭 , 닭간 , 소지라 , 소신장 , 당근 , 양배추 , 콜리플라워 , 애호박 , 표고버섯 , 블루베리 , 단호박 , 커티지치즈 , 난황 , 벌꿀 , 저염멸치 , 대구간유 , 햄프씨드 , 치아씨드 , 해바라기씨유 , 켈프 , 코코넛오일 , 난황IgY 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",두가지 이상의 고기 섭취로 균형 잡힌 완벽 비율 레시피 흰살코기 칠면조&닭고기 적은 소화 부담과 빠른 적응 늘 새롭고 신선하게 생산일 1-2주 내 생식 배송 전자빔 멸균 조사처리로 생식을 건강하고 안전하게 2,"프리미엄 생식 바프독 스타터 프리미엄 제형 원물 급여 방법 상온 기준 반드시 20분 내 급여해주시고, 이후에는 폐기해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,0원,라이펫ㅣ오느루,,,"간식 무항생제 흑돼지 사골(60g*3EA) 제형 냉동 습식 급여 방법 급여 희망일 하루전에 냉장해동 권장 / 너무 뜨겁지 않게, 급여 전 흔들어서 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"69,500원",라이펫ㅣ트러스티푸드,"소고기 사태 , 소 심장 , 소 허파 , 단호박 , 소 간 , 당근 , 애호박 , 브로콜리 , 양배추 , 블루베리 , 사과 , 해바라기유 , 치아씨드 , 제이인산칼슘 , 크랜베리 , 난각분말 , 대구간유 , 정제소금 , 주석산수소콜린 , 마그네슘 아미노산킬레이트 , 비타민 E , 아세테이트 , 글루콘산 아연 , 켈프 파우더 , 망간 아미노산킬 레이트 , 비타민 B1 인공 첨가물, 알러젠 관련","영양 전문 수의사가 만든 완전균형 주식사료 생고기 함량 63% 신선한 국내산 생고기 사용 안전하고 믿을 수 있는 첨가물, 인공보존재 ZERO 국내산 원재료 사용으로 자신있는 성분 공개 2","동결건조 사료 트러스티푸드 비프 패티 제형 동결건조 패티 급여 방법 물에 불리거나, 간식 또는 사료 토핑으로 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기",,https://img.lifet.co.kr/logo/app_logo.png,
,"35,000원",라이펫ㅣ프로덴,"감자 , 식물성글리세린(야자유열매유래) , 정제수 , 말린천연해초류(노티드랙) , 고구마 , 당근 , 호박 , 알팔파 , 천연향 , 천연호박향 , 아마씨 , 해바라기유 , 레시틴 , 구연산(천연보존제) , 건조 바실러스코아귤런스 발효산물 인공 첨가물, 알러젠 관련",100% 천연 켈프 사용으로 플라크·치석 감소 입증 비타민A와 식이섬유 가득한 당근·호박 함유 오메가3·6·항산화제 함유로 잇몸·입냄새 동시에 케어 VOHC 인증 받은 신뢰도 높은 구강 케어 2,덴탈 간식 미니 덴탈케어본(혼합야채) 제형 덴탈껌 급여 방법 권량량에 맞춰 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"15,900원",라이펫ㅣ오로자임,"아밀라아제 , 글루코아밀라아제 , 글루코오스산화효소 , 락토페르옥시다아제 , 라이소자임 , 슈퍼옥사이드 디스뮤타제 , 칼륨 하이포시안화물 , 말 초유 , 락토페린 , 콜라겐 , 말트향 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.",다양한 항균 물질로 플라그와 치석 예방 LPO 공법을 사용한 특허 천연 효소 함유 구내 염증 예방을 위한 락토페린과 라이소자임 기호성이 뛰어난 말트맛 치약 2,,,https://img.lifet.co.kr/logo/app_logo.png,
,"34,800원",라이펫ㅣ펫생각,"마리골드추출분말 , 이소말트 , 차즈기추출물 , 빌베리추출물 , 결정셀룰로오스 , 대나무수액추출분말 , 스테아린산마그네슘 , 헤마토코쿠스 , 건조효모 , 베타카로틴 , 비타민 A , 셀레늄프리믹스 , 히드록시프로필메틸셀룰로오스 , 정제수 , 이산화티타늄 , 카라기난 , 소르비탄지방산에스테르 , 염화마그네슘 , 글리세린 , 염화칼륨 , 안토시아닌 , 아스타잔틴 , L7DG , 제아잔틴 인공 첨가물, 알러젠 관련 성분의 함량 평가는 소형견/고양이 5kg, 중대형견은 15kg 기준이며, 특정 질환에 유효성이 입증된 경우 함께 표시했어요.","하드 캡슐 + 분말 형태 밀도 높은 흡수율 미국, 유럽 인증 천연 면역 강화 성분 1캡슐 당 300mg 고함량 영양보조제 강아지, 고양이 전용 이중 안전성 검토 완료 2",눈 영양제 데일리케얼 슈퍼리얼 아이즈 프로 제형 알약 급여 방법 캡슐을 열어 사료나 간식에 섞어 급여해주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
,"9,900원",라이펫ㅣ바프독,"캥거루정육 , 깐 찐 병아리콩 인공 첨가물, 알러젠 관련",저지방 고단백의 국내산 캥거루 살코기 신선한 캥거루 베이스의 고소한 병아리콩 토핑 고소한 풍미로 기호성 높인 얇고 바삭한 식감 자체 생산 제조 시설로 믿고 급여 가능 2,간식 크리스피 캉가칩 (캥거루) 40g 제형 칩류 급여 방법 전자레인지에서 5초 정도만 돌려 손으로 부셔서 급여해 주세요. 보름이 믹스 4살 남아 권장 급여 1일 1회 2캡슐 1일 금액 550원 지금 바로 로그인하고 우리 아이 궁합을 확인해보세요! 로그인/회원가입 아이의 정보와 제조사 권장 급여량에 기반해 계산되었습니다. 꼭 급여 방법 및 적정 급여량을 확인하고 급여해주세요. 상세정보 펼쳐보기,,https://img.lifet.co.kr/logo/app_logo.png,
